Texto,Sesgo,Texto_preprocesado,Texto_token,Sin_palabras_vacias,Texto_stemmed_PS,Text_stemmed_SS,Texto_lemma
algunos están sad 24/7 otros están indignados 24/7 yo estoy cachondo 24/7,1,algunos están sad  otros están indignados  yo estoy cachondo ,"['algunos', 'están', 'sad', 'otros', 'están', 'indignados', 'yo', 'estoy', 'cachondo']","['sad', 'indignados', 'cachondo']","['sad', 'indignado', 'cachondo']","['sad', 'indign', 'cachond']","['sad', 'indignados', 'cachondo']"
como la gente siga siendo aburrida les mandaré a la puta ,1,como la gente siga siendo aburrida les mandaré a la puta ,"['como', 'la', 'gente', 'siga', 'siendo', 'aburrida', 'les', 'mandaré', 'a', 'la', 'puta']","['gente', 'siga', 'siendo', 'aburrida', 'mandaré', 'puta']","['gent', 'siga', 'siendo', 'aburrida', 'mandaré', 'puta']","['gent', 'sig', 'siend', 'aburr', 'mand', 'put']","['gente', 'siga', 'siendo', 'aburrida', 'mandaré', 'puta']"
"últimamente, me están siguiendo chicas con perfiles bastante subidos de tono en instagram. ¿para cuándo un chico decente? ",1,últimamente me están siguiendo chicas con perfiles bastante subidos de tono en instagram ¿para cuándo un chico decente ,"['últimamente', 'me', 'están', 'siguiendo', 'chicas', 'con', 'perfiles', 'bastante', 'subidos', 'de', 'tono', 'en', 'instagram', 'para', 'cuándo', 'un', 'chico', 'decente']","['últimamente', 'siguiendo', 'chicas', 'perfiles', 'bastante', 'subidos', 'tono', 'instagram', 'cuándo', 'chico', 'decente']","['últimament', 'siguiendo', 'chica', 'perfil', 'bastant', 'subido', 'tono', 'instagram', 'cuándo', 'chico', 'decent']","['ultim', 'sigu', 'chic', 'perfil', 'bastant', 'sub', 'ton', 'instagram', 'cuand', 'chic', 'decent']","['últimamente', 'siguiendo', 'chicas', 'perfiles', 'bastante', 'subidos', 'tono', 'instagram', 'cuándo', 'chico', 'decente']"
hay una exposición de cuadros y uno de ellos está estropeandose por el agua del aire acondicionado que le cae encima ,0,hay una exposición de cuadros y uno de ellos está estropeandose por el agua del aire acondicionado que le cae encima ,"['hay', 'una', 'exposición', 'de', 'cuadros', 'y', 'uno', 'de', 'ellos', 'está', 'estropeandose', 'por', 'el', 'agua', 'del', 'aire', 'acondicionado', 'que', 'le', 'cae', 'encima']","['exposición', 'cuadros', 'estropeandose', 'agua', 'aire', 'acondicionado', 'cae', 'encima']","['exposición', 'cuadro', 'estropeandos', 'agua', 'air', 'acondicionado', 'cae', 'encima']","['exposicion', 'cuadr', 'estrop', 'agu', 'air', 'acondicion', 'cae', 'encim']","['exposición', 'cuadros', 'estropeandose', 'agua', 'aire', 'acondicionado', 'cae', 'encima']"
con un rt podrás ayudar a la asociación de robots con problemas psicomotrices de la guardia carmesí https://t.co/viev7st79a,0,con un rt podrás ayudar a la asociación de robots con problemas psicomotrices de la guardia carmesí ,"['con', 'un', 'rt', 'podrás', 'ayudar', 'a', 'la', 'asociación', 'de', 'robots', 'con', 'problemas', 'psicomotrices', 'de', 'la', 'guardia', 'carmesí']","['rt', 'podrás', 'ayudar', 'asociación', 'robots', 'problemas', 'psicomotrices', 'guardia', 'carmesí']","['rt', 'podrá', 'ayudar', 'asociación', 'robot', 'problema', 'psicomotric', 'guardia', 'carmesí']","['rt', 'podras', 'ayud', 'asoci', 'robots', 'problem', 'psicomotric', 'guardi', 'carmes']","['rt', 'podrás', 'ayudar', 'asociación', 'robot', 'problemas', 'psicomotrices', 'guardia', 'carmesí']"
@cobos_rebeca a ti por responder! espero y deseo que te salgan nuevos proyectos!! besitos!! ,0, a ti por responder espero y deseo que te salgan nuevos proyectos besitos ,"['a', 'ti', 'por', 'responder', 'espero', 'y', 'deseo', 'que', 'te', 'salgan', 'nuevos', 'proyectos', 'besitos']","['responder', 'espero', 'deseo', 'salgan', 'nuevos', 'proyectos', 'besitos']","['respond', 'espero', 'deseo', 'salgan', 'nuevo', 'proyecto', 'besito']","['respond', 'esper', 'dese', 'salg', 'nuev', 'proyect', 'besit']","['responder', 'espero', 'deseo', 'salgan', 'nuevos', 'proyectos', 'besitos']"
"nunca vi a nadie gritar de terror ni saltar tanto en tan poco tiempo jajajajajajajajajajajajaja p no soy cruel, fue con cariño ",0,nunca vi a nadie gritar de terror ni saltar tanto en tan poco tiempo jajajajajajajajajajajajaja p no soy cruel fue con cariño ,"['nunca', 'vi', 'a', 'nadie', 'gritar', 'de', 'terror', 'ni', 'saltar', 'tanto', 'en', 'tan', 'poco', 'tiempo', 'jajajajajajajajajajajajaja', 'p', 'no', 'soy', 'cruel', 'fue', 'con', 'cariño']","['nunca', 'vi', 'nadie', 'gritar', 'terror', 'saltar', 'tan', 'tiempo', 'jajajajajajajajajajajajaja', 'p', 'cruel', 'cariño']","['nunca', 'vi', 'nadi', 'gritar', 'terror', 'saltar', 'tan', 'tiempo', 'jajajajajajajajajajajajaja', 'p', 'cruel', 'cariño']","['nunc', 'vi', 'nadi', 'grit', 'terror', 'salt', 'tan', 'tiemp', 'jajajajajajajajajajajajaj', 'p', 'cruel', 'cariñ']","['nunca', 'vi', 'nadie', 'gritar', 'terror', 'saltar', 'tan', 'tiempo', 'jajajajajajajajajajajajaja', 'p', 'cruel', 'cariño']"
"@mrplayforlive para ser un filler tiene bastante chicha... xdd, si es muy bueno entra al olimpo con el duel, los 2 mejores filler ",0, para ser un filler tiene bastante chicha xdd si es muy bueno entra al olimpo con el duel los  mejores filler ,"['para', 'ser', 'un', 'filler', 'tiene', 'bastante', 'chicha', 'xdd', 'si', 'es', 'muy', 'bueno', 'entra', 'al', 'olimpo', 'con', 'el', 'duel', 'los', 'mejores', 'filler']","['ser', 'filler', 'bastante', 'chicha', 'xdd', 'si', 'bueno', 'entra', 'olimpo', 'duel', 'mejores', 'filler']","['ser', 'filler', 'bastant', 'chicha', 'xdd', 'si', 'bueno', 'entra', 'olimpo', 'duel', 'mejor', 'filler']","['ser', 'fill', 'bastant', 'chich', 'xdd', 'si', 'buen', 'entra', 'olimp', 'duel', 'mejor', 'fill']","['ser', 'filler', 'bastante', 'chicha', 'xdd', 'si', 'bueno', 'entra', 'olimpo', 'duel', 'mejores', 'filler']"
@ladyeternalsed son mucho más emotivos ,0, son mucho más emotivos ,"['son', 'mucho', 'más', 'emotivos']",['emotivos'],['emotivo'],['emot'],['emotivos']
ese momento en el que no tienes megas para ver el video y en casa de tu padre no hay wifi  #mamaheasesinadoaminovia,0,ese momento en el que no tienes megas para ver el video y en casa de tu padre no hay wifi  ,"['ese', 'momento', 'en', 'el', 'que', 'no', 'tienes', 'megas', 'para', 'ver', 'el', 'video', 'y', 'en', 'casa', 'de', 'tu', 'padre', 'no', 'hay', 'wifi']","['momento', 'megas', 'ver', 'video', 'casa', 'padre', 'wifi']","['momento', 'mega', 'ver', 'video', 'casa', 'padr', 'wifi']","['moment', 'meg', 'ver', 'vide', 'cas', 'padr', 'wifi']","['momento', 'megas', 'ver', 'video', 'casa', 'padre', 'wifi']"
@juan_s_alba @luisitno buen día para el apertura 2017 que?,0,  buen día para el apertura  que,"['buen', 'día', 'para', 'el', 'apertura', 'que']","['buen', 'día', 'apertura']","['buen', 'día', 'apertura']","['buen', 'dia', 'apertur']","['buen', 'día', 'apertura']"
quiero esta figura de madison  ojalá que la próxima en salir sea alicia https://t.co/dtnjsrr8to,0,quiero esta figura de madison  ojalá que la próxima en salir sea alicia ,"['quiero', 'esta', 'figura', 'de', 'madison', 'ojalá', 'que', 'la', 'próxima', 'en', 'salir', 'sea', 'alicia']","['quiero', 'figura', 'madison', 'ojalá', 'próxima', 'salir', 'alicia']","['quiero', 'figura', 'madison', 'ojalá', 'próxima', 'salir', 'alicia']","['quier', 'figur', 'madison', 'ojal', 'proxim', 'sal', 'alici']","['quiero', 'figura', 'madison', 'ojalá', 'próxima', 'salir', 'alicia']"
"@karlacg_ ayñ, si eso pasa, uno de mis hermanos era super rubio y pues ya no jaja igual está cute tu cabello!",0, ayñ si eso pasa uno de mis hermanos era super rubio y pues ya no jaja igual está cute tu cabello,"['ayñ', 'si', 'eso', 'pasa', 'uno', 'de', 'mis', 'hermanos', 'era', 'super', 'rubio', 'y', 'pues', 'ya', 'no', 'jaja', 'igual', 'está', 'cute', 'tu', 'cabello']","['ayñ', 'si', 'pasa', 'hermanos', 'super', 'rubio', 'pues', 'jaja', 'igual', 'cute', 'cabello']","['ayñ', 'si', 'pasa', 'hermano', 'super', 'rubio', 'pue', 'jaja', 'igual', 'cute', 'cabello']","['ayñ', 'si', 'pas', 'herman', 'sup', 'rubi', 'pues', 'jaj', 'igual', 'cut', 'cabell']","['ayñ', 'si', 'pasa', 'hermanos', 'super', 'rubio', 'pues', 'jaja', 'igual', 'cute', 'cabello']"
ya tengo mi principal propósito de este año,0,ya tengo mi principal propósito de este año,"['ya', 'tengo', 'mi', 'principal', 'propósito', 'de', 'este', 'año']","['principal', 'propósito', 'año']","['princip', 'propósito', 'año']","['principal', 'proposit', 'año']","['principal', 'propósito', 'año']"
"días!!! entrena tu mente. vives como piensas. elige lo amable, lo bondadoso, lo consciente, lo sano, lo creativo, lo alegre.. besitos",0,días entrena tu mente vives como piensas elige lo amable lo bondadoso lo consciente lo sano lo creativo lo alegre besitos,"['días', 'entrena', 'tu', 'mente', 'vives', 'como', 'piensas', 'elige', 'lo', 'amable', 'lo', 'bondadoso', 'lo', 'consciente', 'lo', 'sano', 'lo', 'creativo', 'lo', 'alegre', 'besitos']","['días', 'entrena', 'mente', 'vives', 'piensas', 'elige', 'amable', 'bondadoso', 'consciente', 'sano', 'creativo', 'alegre', 'besitos']","['día', 'entrena', 'ment', 'vive', 'piensa', 'elig', 'amabl', 'bondadoso', 'conscient', 'sano', 'creativo', 'alegr', 'besito']","['dias', 'entren', 'ment', 'viv', 'piens', 'elig', 'amabl', 'bondad', 'conscient', 'san', 'creativ', 'alegr', 'besit']","['días', 'entrena', 'mente', 'vives', 'piensas', 'elige', 'amable', 'bondadoso', 'consciente', 'sano', 'creativo', 'alegre', 'besitos']"
ultimo día de vacaciones ya el lunes a la escuela noooo!,0,ultimo día de vacaciones ya el lunes a la escuela noooo,"['ultimo', 'día', 'de', 'vacaciones', 'ya', 'el', 'lunes', 'a', 'la', 'escuela', 'noooo']","['ultimo', 'día', 'vacaciones', 'lunes', 'escuela', 'noooo']","['ultimo', 'día', 'vacacion', 'lune', 'escuela', 'noooo']","['ultim', 'dia', 'vacacion', 'lun', 'escuel', 'nooo']","['ultimo', 'día', 'vacaciones', 'lunes', 'escuela', 'noooo']"
@__beatriizzzz fresquita... lo único malo fue que nos quitaron el banco bueno ,0, fresquita lo único malo fue que nos quitaron el banco bueno ,"['fresquita', 'lo', 'único', 'malo', 'fue', 'que', 'nos', 'quitaron', 'el', 'banco', 'bueno']","['fresquita', 'único', 'malo', 'quitaron', 'banco', 'bueno']","['fresquita', 'único', 'malo', 'quitaron', 'banco', 'bueno']","['fresquit', 'unic', 'mal', 'quit', 'banc', 'buen']","['fresquita', 'único', 'malo', 'quitaron', 'banco', 'bueno']"
"@jclilgangster yo tengo que aguantar 4 niños pequeños, no sé que es peor ",1, yo tengo que aguantar  niños pequeños no sé que es peor ,"['yo', 'tengo', 'que', 'aguantar', 'niños', 'pequeños', 'no', 'sé', 'que', 'es', 'peor']","['aguantar', 'niños', 'pequeños', 'sé', 'peor']","['aguantar', 'niño', 'pequeño', 'sé', 'peor']","['aguant', 'niñ', 'pequeñ', 'se', 'peor']","['aguantar', 'niños', 'pequeños', 'sé', 'peor']"
¡peleas como una mujer!,1,¡peleas como una mujer,"['peleas', 'como', 'una', 'mujer']","['peleas', 'mujer']","['pelea', 'mujer']","['pel', 'muj']","['peleas', 'mujer']"
es mejor darle el corton a la gente q ponerse a discutir por cosas que ni ellos mismos entenderán!!! a desayunar papus!!!!!!,1,es mejor darle el corton a la gente q ponerse a discutir por cosas que ni ellos mismos entenderán a desayunar papus,"['es', 'mejor', 'darle', 'el', 'corton', 'a', 'la', 'gente', 'q', 'ponerse', 'a', 'discutir', 'por', 'cosas', 'que', 'ni', 'ellos', 'mismos', 'entenderán', 'a', 'desayunar', 'papus']","['mejor', 'darle', 'corton', 'gente', 'q', 'ponerse', 'discutir', 'cosas', 'mismos', 'entenderán', 'desayunar', 'papus']","['mejor', 'darl', 'corton', 'gent', 'q', 'poners', 'discutir', 'cosa', 'mismo', 'entenderán', 'desayunar', 'papu']","['mejor', 'darl', 'corton', 'gent', 'q', 'pon', 'discut', 'cos', 'mism', 'entend', 'desayun', 'papus']","['mejor', 'darle', 'corton', 'gente', 'q', 'ponerse', 'discutir', 'cosas', 'mismos', 'entenderán', 'desayunar', 'papus']"
@sr_merlusa @mariiiiaperez @abrilnapilotti como se nota merlu que hace tiemp oque no te junta conmigoooooooo ,0,   como se nota merlu que hace tiemp oque no te junta conmigoooooooo ,"['como', 'se', 'nota', 'merlu', 'que', 'hace', 'tiemp', 'oque', 'no', 'te', 'junta', 'conmigoooooooo']","['nota', 'merlu', 'hace', 'tiemp', 'oque', 'junta', 'conmigoooooooo']","['nota', 'merlu', 'hace', 'tiemp', 'oqu', 'junta', 'conmigoooooooo']","['not', 'merlu', 'hac', 'tiemp', 'oqu', 'junt', 'conmigooooooo']","['nota', 'merlu', 'hace', 'tiemp', 'oque', 'junta', 'conmigoooooooo']"
"inteligente como papá, bonita como mamá",1,inteligente como papá bonita como mamá,"['inteligente', 'como', 'papá', 'bonita', 'como', 'mamá']","['inteligente', 'papá', 'bonita', 'mamá']","['inteligent', 'papá', 'bonita', 'mamá']","['inteligent', 'pap', 'bonit', 'mam']","['inteligente', 'papá', 'bonita', 'mamá']"
"buenos días para todos, menos a esos que ya están de vacaciones, a esos no ojalá los levante su mama para hacer el desayuno. jejeje...",1,buenos días para todos menos a esos que ya están de vacaciones a esos no ojalá los levante su mama para hacer el desayuno jejeje,"['buenos', 'días', 'para', 'todos', 'menos', 'a', 'esos', 'que', 'ya', 'están', 'de', 'vacaciones', 'a', 'esos', 'no', 'ojalá', 'los', 'levante', 'su', 'mama', 'para', 'hacer', 'el', 'desayuno', 'jejeje']","['buenos', 'días', 'menos', 'vacaciones', 'ojalá', 'levante', 'mama', 'hacer', 'desayuno', 'jejeje']","['bueno', 'día', 'meno', 'vacacion', 'ojalá', 'levant', 'mama', 'hacer', 'desayuno', 'jejej']","['buen', 'dias', 'men', 'vacacion', 'ojal', 'levant', 'mam', 'hac', 'desayun', 'jejej']","['buenos', 'días', 'menos', 'vacaciones', 'ojalá', 'levante', 'mama', 'hacer', 'desayuno', 'jejeje']"
tienes una voz bonita @cristinabosca ahora sólo tengo que aprender a diferenciarla  me gusta la voz que tienes ,1,tienes una voz bonita  ahora sólo tengo que aprender a diferenciarla  me gusta la voz que tienes ,"['tienes', 'una', 'voz', 'bonita', 'ahora', 'sólo', 'tengo', 'que', 'aprender', 'a', 'diferenciarla', 'me', 'gusta', 'la', 'voz', 'que', 'tienes']","['voz', 'bonita', 'ahora', 'sólo', 'aprender', 'diferenciarla', 'gusta', 'voz']","['voz', 'bonita', 'ahora', 'sólo', 'aprend', 'diferenciarla', 'gusta', 'voz']","['voz', 'bonit', 'ahor', 'sol', 'aprend', 'diferenci', 'gust', 'voz']","['voz', 'bonita', 'ahora', 'sólo', 'aprender', 'diferenciarla', 'gusta', 'voz']"
"te bloquee crea cuentas huevo y solito se sigue y dá rt, porque ya no le creen sus fans. ah qué mi paisano, ni me interesa su amistad.",1,te bloquee crea cuentas huevo y solito se sigue y dá rt porque ya no le creen sus fans ah qué mi paisano ni me interesa su amistad,"['te', 'bloquee', 'crea', 'cuentas', 'huevo', 'y', 'solito', 'se', 'sigue', 'y', 'dá', 'rt', 'porque', 'ya', 'no', 'le', 'creen', 'sus', 'fans', 'ah', 'qué', 'mi', 'paisano', 'ni', 'me', 'interesa', 'su', 'amistad']","['bloquee', 'crea', 'cuentas', 'huevo', 'solito', 'sigue', 'dá', 'rt', 'creen', 'fans', 'ah', 'paisano', 'interesa', 'amistad']","['bloque', 'crea', 'cuenta', 'huevo', 'solito', 'sigu', 'dá', 'rt', 'creen', 'fan', 'ah', 'paisano', 'interesa', 'amistad']","['bloque', 'cre', 'cuent', 'huev', 'solit', 'sig', 'da', 'rt', 'cre', 'fans', 'ah', 'paisan', 'interes', 'amist']","['bloquee', 'crea', 'cuentas', 'huevo', 'solito', 'sigue', 'dá', 'rt', 'creen', 'fan', 'ah', 'paisano', 'interesa', 'amistad']"
@flyintothestorm @selenepetalos mmmm yo tampoco te puedo decir nada  supongo que lo lógico sería que lo tuvieran pero a saber,0,  mmmm yo tampoco te puedo decir nada  supongo que lo lógico sería que lo tuvieran pero a saber,"['mmmm', 'yo', 'tampoco', 'te', 'puedo', 'decir', 'nada', 'supongo', 'que', 'lo', 'lógico', 'sería', 'que', 'lo', 'tuvieran', 'pero', 'a', 'saber']","['mmmm', 'tampoco', 'puedo', 'decir', 'supongo', 'lógico', 'saber']","['mmmm', 'tampoco', 'puedo', 'decir', 'supongo', 'lógico', 'saber']","['mmmm', 'tampoc', 'pued', 'dec', 'supong', 'logic', 'sab']","['mmmm', 'tampoco', 'puedo', 'decir', 'supongo', 'lógico', 'saber']"
"llegue a casa, había una caja q me mandó la ex y dentro estaba mi amada ps3 (los niños sonríen) pero no trae control (los niños lloran)",1,llegue a casa había una caja q me mandó la ex y dentro estaba mi amada ps los niños sonríen pero no trae control los niños lloran,"['llegue', 'a', 'casa', 'había', 'una', 'caja', 'q', 'me', 'mandó', 'la', 'ex', 'y', 'dentro', 'estaba', 'mi', 'amada', 'ps', 'los', 'niños', 'sonríen', 'pero', 'no', 'trae', 'control', 'los', 'niños', 'lloran']","['llegue', 'casa', 'caja', 'q', 'mandó', 'ex', 'dentro', 'amada', 'ps', 'niños', 'sonríen', 'trae', 'control', 'niños', 'lloran']","['llegu', 'casa', 'caja', 'q', 'mandó', 'ex', 'dentro', 'amada', 'ps', 'niño', 'sonríen', 'trae', 'control', 'niño', 'lloran']","['lleg', 'cas', 'caj', 'q', 'mand', 'ex', 'dentr', 'amad', 'ps', 'niñ', 'sonr', 'tra', 'control', 'niñ', 'llor']","['llegue', 'casa', 'caja', 'q', 'mandó', 'ex', 'dentro', 'amada', 'p', 'niños', 'sonríen', 'trae', 'control', 'niños', 'lloran']"
primer día de la operación bikini 2017 superado.. i can!  #altafitdonosti #objetivospartan2017,0,primer día de la operación bikini  superado i can   ,"['primer', 'día', 'de', 'la', 'operación', 'bikini', 'superado', 'i', 'can']","['primer', 'día', 'operación', 'bikini', 'superado', 'i', 'can']","['primer', 'día', 'operación', 'bikini', 'superado', 'i', 'can']","['prim', 'dia', 'oper', 'bikini', 'super', 'i', 'can']","['primer', 'día', 'operación', 'bikini', 'superado', 'i', 'can']"
"@miguelagaiteiro @cultrun @lozanoirene si hay que pecar de algo, que sea de ser buena gente! ",0,   si hay que pecar de algo que sea de ser buena gente ,"['si', 'hay', 'que', 'pecar', 'de', 'algo', 'que', 'sea', 'de', 'ser', 'buena', 'gente']","['si', 'pecar', 'ser', 'buena', 'gente']","['si', 'pecar', 'ser', 'buena', 'gent']","['si', 'pec', 'ser', 'buen', 'gent']","['si', 'pecar', 'ser', 'buena', 'gente']"
las mujeres conducen peor y causan más accidentes,1,las mujeres conducen peor y causan más accidentes,"['las', 'mujeres', 'conducen', 'peor', 'y', 'causan', 'más', 'accidentes']","['mujeres', 'conducen', 'peor', 'causan', 'accidentes']","['mujer', 'conducen', 'peor', 'causan', 'accident']","['mujer', 'conduc', 'peor', 'caus', 'accident']","['mujeres', 'conducen', 'peor', 'causan', 'accidentes']"
"escuchan now you\'re gone de @vivandthesect, uno de los mejores discos del 2016 #propuestamañanera",0,escuchan now youre gone de  uno de los mejores discos del  ,"['escuchan', 'now', 'youre', 'gone', 'de', 'uno', 'de', 'los', 'mejores', 'discos', 'del']","['escuchan', 'now', 'youre', 'gone', 'mejores', 'discos']","['escuchan', 'now', 'your', 'gone', 'mejor', 'disco']","['escuch', 'now', 'your', 'gon', 'mejor', 'disc']","['escuchan', 'now', 'youre', 'gone', 'mejores', 'disco']"
corres como una niña.,1,corres como una niña,"['corres', 'como', 'una', 'niña']","['corres', 'niña']","['corr', 'niña']","['corr', 'niñ']","['corres', 'niña']"
"@pablocampos98 andas súper desaparecido de aquí pero se que te la estás pasando súper bonito en tu viaje, y eso me hace muy feliz",0, andas súper desaparecido de aquí pero se que te la estás pasando súper bonito en tu viaje y eso me hace muy feliz,"['andas', 'súper', 'desaparecido', 'de', 'aquí', 'pero', 'se', 'que', 'te', 'la', 'estás', 'pasando', 'súper', 'bonito', 'en', 'tu', 'viaje', 'y', 'eso', 'me', 'hace', 'muy', 'feliz']","['andas', 'súper', 'desaparecido', 'aquí', 'pasando', 'súper', 'bonito', 'viaje', 'hace', 'feliz']","['anda', 'súper', 'desaparecido', 'aquí', 'pasando', 'súper', 'bonito', 'viaj', 'hace', 'feliz']","['andas', 'sup', 'desaparec', 'aqu', 'pas', 'sup', 'bonit', 'viaj', 'hac', 'feliz']","['andas', 'súper', 'desaparecido', 'aquí', 'pasando', 'súper', 'bonito', 'viaje', 'hace', 'feliz']"
"ahora que estoy en madrid casi no puedo hacer fotos chachis, solo a mi careto y no ",0,ahora que estoy en madrid casi no puedo hacer fotos chachis solo a mi careto y no ,"['ahora', 'que', 'estoy', 'en', 'madrid', 'casi', 'no', 'puedo', 'hacer', 'fotos', 'chachis', 'solo', 'a', 'mi', 'careto', 'y', 'no']","['ahora', 'madrid', 'casi', 'puedo', 'hacer', 'fotos', 'chachis', 'solo', 'careto']","['ahora', 'madrid', 'casi', 'puedo', 'hacer', 'foto', 'chachi', 'solo', 'careto']","['ahor', 'madr', 'casi', 'pued', 'hac', 'fot', 'chachis', 'sol', 'caret']","['ahora', 'madrid', 'casi', 'puedo', 'hacer', 'fotos', 'chachis', 'solo', 'careto']"
"papá: vamos al beis hijos: siiii mamá: no, vamos al cine papá: al cabo que ni ganas de ir al beis tenia, que función quieres? hijos:",1,papá vamos al beis hijos siiii mamá no vamos al cine papá al cabo que ni ganas de ir al beis tenia que función quieres hijos,"['papá', 'vamos', 'al', 'beis', 'hijos', 'siiii', 'mamá', 'no', 'vamos', 'al', 'cine', 'papá', 'al', 'cabo', 'que', 'ni', 'ganas', 'de', 'ir', 'al', 'beis', 'tenia', 'que', 'función', 'quieres', 'hijos']","['papá', 'vamos', 'beis', 'hijos', 'siiii', 'mamá', 'vamos', 'cine', 'papá', 'cabo', 'ganas', 'ir', 'beis', 'tenia', 'función', 'quieres', 'hijos']","['papá', 'vamo', 'bei', 'hijo', 'siiii', 'mamá', 'vamo', 'cine', 'papá', 'cabo', 'gana', 'ir', 'bei', 'tenia', 'función', 'quier', 'hijo']","['pap', 'vam', 'beis', 'hij', 'siiii', 'mam', 'vam', 'cin', 'pap', 'cab', 'gan', 'ir', 'beis', 'teni', 'funcion', 'quier', 'hij']","['papá', 'vamos', 'beis', 'hijos', 'siiii', 'mamá', 'vamos', 'cine', 'papá', 'cabo', 'ganas', 'ir', 'beis', 'tenia', 'función', 'quieres', 'hijos']"
el feminismo es como el machismo pero a la inversa,1,el feminismo es como el machismo pero a la inversa,"['el', 'feminismo', 'es', 'como', 'el', 'machismo', 'pero', 'a', 'la', 'inversa']","['feminismo', 'machismo', 'inversa']","['feminismo', 'machismo', 'inversa']","['femin', 'machism', 'invers']","['feminismo', 'machismo', 'inversa']"
"en casa de mujer rica, ella manda y ella grita",1,en casa de mujer rica ella manda y ella grita,"['en', 'casa', 'de', 'mujer', 'rica', 'ella', 'manda', 'y', 'ella', 'grita']","['casa', 'mujer', 'rica', 'manda', 'grita']","['casa', 'mujer', 'rica', 'manda', 'grita']","['cas', 'muj', 'ric', 'mand', 'grit']","['casa', 'mujer', 'rica', 'manda', 'grita']"
@estremaimona hija mía ...haces inteligente a la anormal de yolanda morin.... ,1, hija mía haces inteligente a la anormal de yolanda morin ,"['hija', 'mía', 'haces', 'inteligente', 'a', 'la', 'anormal', 'de', 'yolanda', 'morin']","['hija', 'haces', 'inteligente', 'anormal', 'yolanda', 'morin']","['hija', 'hace', 'inteligent', 'anorm', 'yolanda', 'morin']","['hij', 'hac', 'inteligent', 'anormal', 'yoland', 'morin']","['hija', 'haces', 'inteligente', 'anormal', 'yolanda', 'morin']"
"@currina_ pues no, algunos lunes son maravillosos...por ejemplo el de hoy! hasta mañana! ",0, pues no algunos lunes son maravillosospor ejemplo el de hoy hasta mañana ,"['pues', 'no', 'algunos', 'lunes', 'son', 'maravillosospor', 'ejemplo', 'el', 'de', 'hoy', 'hasta', 'mañana']","['pues', 'lunes', 'maravillosospor', 'ejemplo', 'hoy', 'mañana']","['pue', 'lune', 'maravillosospor', 'ejemplo', 'hoy', 'mañana']","['pues', 'lun', 'maravillosospor', 'ejempl', 'hoy', 'mañan']","['pues', 'lunes', 'maravillosospor', 'ejemplo', 'hoy', 'mañana']"
"uno muere con esos labios y esa mirada que tienes estando tan cerca eh 🙈☺️ ummm y dándote besos me dice, pero a ver ",1,uno muere con esos labios y esa mirada que tienes estando tan cerca eh ☺️ ummm y dándote besos me dice pero a ver ,"['uno', 'muere', 'con', 'esos', 'labios', 'y', 'esa', 'mirada', 'que', 'tienes', 'estando', 'tan', 'cerca', 'eh', 'ummm', 'y', 'dándote', 'besos', 'me', 'dice', 'pero', 'a', 'ver']","['muere', 'labios', 'mirada', 'tan', 'cerca', 'eh', 'ummm', 'dándote', 'besos', 'dice', 'ver']","['muer', 'labio', 'mirada', 'tan', 'cerca', 'eh', 'ummm', 'dándote', 'beso', 'dice', 'ver']","['muer', 'labi', 'mir', 'tan', 'cerc', 'eh', 'ummm', 'dandot', 'bes', 'dic', 'ver']","['muere', 'labios', 'mirada', 'tan', 'cerca', 'eh', 'ummm', 'dándote', 'besos', 'dice', 'ver']"
@kioskoamm @gloris72 @olivares1965 @tomasimedia @madeinleon gracias pero los importantes sois vosotros.  los mediadores.  sois muy buenos ,0,     gracias pero los importantes sois vosotros  los mediadores  sois muy buenos ,"['gracias', 'pero', 'los', 'importantes', 'sois', 'vosotros', 'los', 'mediadores', 'sois', 'muy', 'buenos']","['gracias', 'importantes', 'mediadores', 'buenos']","['gracia', 'important', 'mediador', 'bueno']","['graci', 'import', 'mediador', 'buen']","['gracias', 'importantes', 'mediadores', 'buenos']"
"y así, con tu gran ocico cerrado es como te ves más o menos bonita",1,y así con tu gran ocico cerrado es como te ves más o menos bonita,"['y', 'así', 'con', 'tu', 'gran', 'ocico', 'cerrado', 'es', 'como', 'te', 'ves', 'más', 'o', 'menos', 'bonita']","['así', 'gran', 'ocico', 'cerrado', 'ves', 'menos', 'bonita']","['así', 'gran', 'ocico', 'cerrado', 've', 'meno', 'bonita']","['asi', 'gran', 'ocic', 'cerr', 'ves', 'men', 'bonit']","['así', 'gran', 'ocico', 'cerrado', 'f', 'menos', 'bonita']"
"@tuamigatuitera pues ya ni nos hablas y si iré, iré como el 20 o algo así de enero!",0, pues ya ni nos hablas y si iré iré como el  o algo así de enero,"['pues', 'ya', 'ni', 'nos', 'hablas', 'y', 'si', 'iré', 'iré', 'como', 'el', 'o', 'algo', 'así', 'de', 'enero']","['pues', 'hablas', 'si', 'iré', 'iré', 'así', 'enero']","['pue', 'habla', 'si', 'iré', 'iré', 'así', 'enero']","['pues', 'habl', 'si', 'ire', 'ire', 'asi', 'ener']","['pues', 'hablas', 'si', 'iré', 'iré', 'así', 'enero']"
